title,link,occupation,companie,spec,location
E Commerce Specialist,https://wuzzuf.net/jobs/p/6briuzti4amc-e-commerce-specialist-concrete-for-readymade-garments-giza-egypt,Full TimeOn-site,Concrete For Readymade Garments -,Full TimeOn-siteExperienced · 3 - 4 Yrs of Exp · Sales/Retail · Commerce · E-Commerce · Content · business · E-Marketing · Google Analytics · English · Management · Marketing,"Mohandessin, Giza, Egypt "
Raw Material Planning Engineer,https://wuzzuf.net/jobs/p/ffqs0rapfqjf-raw-material-planning-engineer-glassrock-insulation-co-monufya-egypt,Full TimeOn-site,GlassRock Insulation Co. -,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering · material · engineer · Material Planning · Planning · Planning Engineer · Project Management,"Alsadat City, Monufya, Egypt "
Telecom Products Sales Manager,https://wuzzuf.net/jobs/p/fipa5rgnle3i-telecom-products-sales-manager-sichuan-tianyi-comheart-telecom-co-ltd-cairo-egypt,Full TimeHybrid,"Sichuan Tianyi Comheart- Telecom Co., Ltd. -",Full TimeHybridManager · 5 - 10 Yrs of Exp · males_only · Business Development · Sales/Retail · Engineering - Telecom/Technology · Telecommunication · Telecom · Sales · Microsoft Powerpoint · Microsoft Excel · car owner · Technical Presentations,"Cairo, Egypt "
Accountant,https://wuzzuf.net/jobs/p/stjiuafcgqrr-accountant-moonland-for-real-estate-touristic-investments-image-giza-egypt,Full TimeOn-site,Moonland for Real Estate & Touristic Investments (Image) -,Full TimeOn-siteExperienced · 3+ Yrs of Exp · Accounting/Finance · Financial Reporting · Accounting Software,"Agouza, Giza, Egypt "
Senior Electrical Technical Office Engineer,https://wuzzuf.net/jobs/p/8pndhzyne1bo-senior-electrical-technical-office-engineer-urbnlanes-cairo-egypt,Full TimeOn-site,Urbnlanes  -,Full TimeOn-siteExperienced · 6 - 8 Yrs of Exp · Administration · Engineering - Construction/Civil/Architecture · Engineering - Mechanical/Electrical · Communication · Electrical Engineering · Electrical,"New Cairo, Cairo, Egypt "
First Line Manager,https://wuzzuf.net/jobs/p/jwtxs8uorixk-first-line-manager-sfn-pharma-alexandria-egypt,Full TimeOn-site,SFN Pharma -,Full TimeOn-siteManager · 3 - 5 Yrs of Exp · Medical/Healthcare · Pharmaceutical · Team Leadership · Medical Sales · Nutrition · Pharmaceutical · Team Coaching · Sales Planning · Management,"Alexandria, Egypt "
Telesales Representative,https://wuzzuf.net/jobs/p/w2z6yval8bym-telesales-representative-ecc-group-cairo-egypt,Full TimeOn-site,ECC Group -,Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · Customer Service/Support · Sales/Retail · Education/Teaching · Sales advisor · Telesales · sales skills · Customer Service · Communication,"Nasr City, Cairo, Egypt "
RAID Support Specialist,https://wuzzuf.net/jobs/p/l2i49pgyudta-raid-support-specialist-efada-technology-giza-egypt,Full TimeHybrid,Efada Technology -,Full TimeHybridExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · developer · Sales · Outsourcing · Information Technology (IT) · RAID · redundancy.,"6th of October, Giza, Egypt "
IT System Administrators,https://wuzzuf.net/jobs/p/2tnywlhejnvq-it-system-administrators-sukari-gold-mines-red-sea-egypt,Full TimeOn-site,Sukari Gold Mines -,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Administration · IT/Software Development · System Administration · Network Administration · Linux Administration · Virtualization (VMware/Hyper-V) · Windows Server · Documentation,"Red Sea, Egypt "
Laboratory Chemist,https://wuzzuf.net/jobs/p/1woflznbwutn-laboratory-chemist-monairy-corn-sharqia-egypt,Full TimeOn-site,Monairy Corn -,Full TimeOn-siteEntry Level · 1 - 2 Yrs of Exp · males_only · R&D/Science · Quality · Engineering - Other · Laboratory Techniques · Analytical Chemistry · Problem Solving · Communication · Time Management · Attention to Detail · Team Collaboration,"10th of Ramadan City, Sharqia, Egypt "
Manager,https://wuzzuf.net/jobs/p/g/obzwxdpet5zg-manager-crisil-dubai-united-arab-emirates,Full Time,Crisil -,Full TimeExperienced · 10+ Yrs of Exp · Administration · Operations/Management · Sales/Retail · Microsoft Office · Sales · Administration · Management · Sales Skills · Office Management · Customer Service,"Dubai, United Arab Emirates "
Technical Support Executive,https://wuzzuf.net/jobs/p/kdfao0mbyxau-technical-support-executive-erpplus5-cairo-egypt,Full TimeOn-site,Erpplus5 -,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · ERP System · Database SQL Server · MS SQL Server · Technical Support · Servers · Software Deployment · Hardware Support,"Maadi, Cairo, Egypt "
Oracle Consultant,https://wuzzuf.net/jobs/p/keq876nfyuyb-oracle-consultant-cairo-egypt,Freelance / ProjectRemote,Confidential -,Freelance / ProjectRemoteExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Oracle · Oracle E-Business Suite (EPS),"Cairo, Egypt "
CFO,https://wuzzuf.net/jobs/p/zhu3zviaairz-cfo-malaz-for-consumer-finance-giza-egypt,Full TimeOn-site,malaz for consumer finance -,Full TimeOn-siteSenior Management · 7+ Yrs of Exp · Accounting/Finance · C-Level Executive/GM/Director · Budgeting and Forecasting · Financial Reporting · Regulatory Compliance · Financial Systems · Finance · Operations Management,"Dokki, Giza, Egypt "
ESP Field Engineer,https://wuzzuf.net/jobs/p/ybkpgxeyxugz-esp-field-engineer-cairo-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · males_only · Other · Electrical · Electrical Engineering · Field · Service · Petroleum,"Cairo, Egypt "
Outgoing Tourism Manager,https://wuzzuf.net/jobs/p/uu7gsoad5fqr-outgoing-tourism-manager-option-travel-cairo-egypt,Full TimeOn-site,Option Travel -,Full TimeOn-siteManager · 10+ Yrs of Exp · Hospitality/Hotels/Food Services · Tourism/Travel · Tourism · travel · outgoing,"Maadi, Cairo, Egypt "
Electrical Testing Engineer,https://wuzzuf.net/jobs/p/ydjbirylxs26-electrical-testing-engineer-elsewedy-electric-cairo-egypt,Full TimeOn-site,Elsewedy Electric -,Full TimeOn-siteEntry Level · 1 - 5 Yrs of Exp · Installation/Maintenance/Repair · Quality · Engineering - Mechanical/Electrical · Electrical testing · Commissioning · Troubleshooting · Analytical thinking · Technical documentation · Team collaboration · Diagnostic tools operation,"10th of Ramadan City, Cairo, Egypt "
Business Operation Analyst,https://wuzzuf.net/jobs/p/g/ppnlkkgov13n-business-operation-analyst-arrow-components-riyadh-saudi-arabia,Full Time,Arrow Components -,Full TimeEntry Level · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Software · Engineering,"Riyadh, Saudi Arabia "
Industrial Engineer,https://wuzzuf.net/jobs/p/1cgkvsfllsbe-industrial-engineer-business-circles-cairo-egypt,Full TimeOn-site,Business Circles  -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Engineering - Other · Lean Six Sigma · Kaizen methodologies · Industrial Engineering,"10th of Ramadan City, Cairo, Egypt "
Accounting Manager,https://wuzzuf.net/jobs/p/usjmibgsxoub-accounting-manager-el-ahlyia-health-care-for-medical-supplies-cairo-egypt,Full TimeOn-site,El-Ahlyia health care for medical supplies -,Full TimeOn-siteManager · 8 - 12 Yrs of Exp · Accounting/Finance · Financial Reporting · Budgeting and Forecasting · ERP Systems · Process Improvement · Problem Solving · Communication · Analytical Thinking · Team Leadership,"Sheraton, Cairo, Egypt "
Credit Controller Specialist,https://wuzzuf.net/jobs/p/evvodyfnqo28-credit-controller-specialist-mantrac-cairo-egypt,Full TimeOn-site,Mantrac -,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Negotiation · Communication · Attention to detail · Accounting · Finane,"10th of Ramadan City, Cairo, Egypt "
Organization Development Supervisor ( Manufacturing ),https://wuzzuf.net/jobs/p/zmuskwym2bk8-organization-development-supervisor-manufacturing-outservingplus-cairo-egypt,Full TimeOn-site,Outservingplus -,Full TimeOn-siteManager · 5 - 9 Yrs of Exp · Human Resources · Project Management · Organizational Development · Change Management · Leadership Development · Employee Engagement,"Cairo, Egypt "
SR. Cost Control ( Electric Engineering ),https://wuzzuf.net/jobs/p/nzx1wkikuo2a-sr-cost-control-electric-engineering-orc-cairo-egypt,Full TimeOn-site,ORC  -,Full TimeOn-siteExperienced · 5 - 8 Yrs of Exp · Engineering - Mechanical/Electrical · Cost Control · Electrical Engineering · Engineering · Cost Engineering,"Nasr City, Cairo, Egypt "
Organizational Performance Senior Specialist,https://wuzzuf.net/jobs/p/auqmeh1uxzej-organizational-performance-senior-specialist-nahdet-misr-publishing-group-giza-egypt,Full TimeOn-site,Nahdet Misr Publishing Group -,Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · Human Resources · Analyst/Research · business · Planning · Development · Organizational Development · Management · Performance,"Giza, Egypt "
Accountant,https://wuzzuf.net/jobs/p/1d7qvwtuq5k4-accountant-giza-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · Financial Reporting · Accounts Payable · Accounts Receivable · Account Reconciliation · General Ledger Management · Accounting Software Proficiency,"Giza, Egypt "
Oracle Financial Expert,https://wuzzuf.net/jobs/p/qwkllll2zw1z-oracle-financial-expert-giza-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 12 - 15 Yrs of Exp · Accounting/Finance · Engineering - Telecom/Technology · Oracle EBS R12 · ERP,"Giza, Egypt "
Senior Accountant,https://wuzzuf.net/jobs/p/zhwtvnzvdeoe-senior-accountant-beta-developments-cairo-egypt,Full TimeOn-site,Beta Developments -,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Accounting/Finance · Finance · Accounting · Analytical Thinking · Budgeting and Forecasting,"Cairo, Egypt "
Production Engineer,https://wuzzuf.net/jobs/p/aqtvyf9v7uvm-production-engineer-sharqia-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 2 - 3 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Production · Engineering · Mechanical Engineering · Manufacturing · Analytical System · Problem Solving,"10th of Ramadan City, Sharqia, Egypt "
Accounts Receivable Specialist,https://wuzzuf.net/jobs/p/eb4dqfwqfjup-accounts-receivable-specialist-orchidia-pharmaceutical-industries-cairo-egypt,Full TimeOn-site,Orchidia Pharmaceutical Industries -,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Accounting · Finance · accountant · Accounts Receivable,"Obour City, Cairo, Egypt "
Financial Planning Assistant Manager,https://wuzzuf.net/jobs/p/xeve4t4nr77e-financial-planning-assistant-manager-cairo-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteManager · 4 - 8 Yrs of Exp · Accounting/Finance · FP&A · Microsoft Excel · Power BI,"New Cairo, Cairo, Egypt "
Accountant,https://wuzzuf.net/jobs/p/5tlcp8bmnzgh-accountant-5-quarters-cairo-egypt,Full TimeOn-site,5 Quarters -,Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · males_preferred · Accounting/Finance · Financial Reporting · Budgeting and Forecasting,"Nasr City, Cairo, Egypt "
Accounting Analyst,https://wuzzuf.net/jobs/p/lbqrbmqtvmuz-accounting-analyst-zuccess-ajman-united-arab-emirates,Part TimeShift BasedRemote,Zuccess -,Part TimeShift BasedRemoteEntry Level · 0 - 2 Yrs of Exp · Marketing/PR/Advertising · Excel and Financial Modeling · Time Management · Accounting Software Proficiency · Problem Solving,"Ajman, United Arab Emirates "
IT Analyst,https://wuzzuf.net/internship/34yyatsipesu-it-analyst-intercap-capital-giza-egypt,InternshipOn-site,Intercap Capital  -,InternshipOn-siteEntry Level · IT/Software Development · Analyst/Research · Computer Science · IT Service Management · AI,"Dokki, Giza, Egypt "
Logistics Specialist,https://wuzzuf.net/jobs/p/gxzmr6hdiqmh-logistics-specialist-azza-fahmy-jewellery-giza-egypt,Full TimeOn-site,Azza Fahmy Jewellery -,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Logistics/Supply Chain · Supply Chain · Logistics,"6th of October, Giza, Egypt "
E-Commerce Business Analyst,https://wuzzuf.net/jobs/p/g/qemf51ez4fji-e-commerce-business-analyst-agile-consultants-dubai-united-arab-emirates,Full Time,Agile Consultants -,Full TimeExperienced · Business Development · Operations/Management · Marketing/PR/Advertising · E-Commerce · Retail · Communication · E-marketing · Marketing · Social Media · Business Development,"Dubai, United Arab Emirates "
OR Sales Manager - Home Appliances,https://wuzzuf.net/jobs/p/iuu5fkoyesrb-or-sales-manager-home-appliances-cairo-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteManager · 10 - 20 Yrs of Exp · Sales/Retail · Sales Management · Retail Operations · Strategic Planning · OR · Sales · Sales Manager · Sales Director · Home Appliances · Home Electronics,"New Cairo, Cairo, Egypt "
Production Manager - Food Manufacturing,https://wuzzuf.net/jobs/p/fkrfsh0wbemn-production-manager-food-manufacturing-exception-patisserie-giza-egypt,Full TimeOn-site,Exception Patisserie -,Full TimeOn-siteManager · 10+ Yrs of Exp · males_only · Operations/Management · Manufacturing/Production · Engineering - Mechanical/Electrical · Production · Engineering · Manufacturing · Food · Industrial · Industrial Engineering · Food Industry,"6th of October, Giza, Egypt "
Accounting Manager,https://wuzzuf.net/jobs/p/6b1uogpkurw6-accounting-manager-treskon-cairo-egypt,Full TimeOn-site,TRESKON  -,Full TimeOn-siteManager · 5 - 7 Yrs of Exp · Accounting/Finance · Financial Analysis · Financial Management · Accounting Manager,"New Cairo, Cairo, Egypt "
Information Security Administrator,https://wuzzuf.net/jobs/p/nio6zczhc8vi-information-security-administrator-alshaya-cairo-egypt,Full TimeHybrid,Alshaya -,Full TimeHybridEntry Level · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Security · ISO · ISO standards · Cybersecurity · Cyber Security · Security Plus · GDPR · PCIDSS,"Nasr City, Cairo, Egypt "
Project Control Engineer,https://wuzzuf.net/jobs/p/s4qd1rz5pmp6-project-control-engineer-doosan-enerbility-co-ltd-matruh-egypt,Full TimeOn-site,Doosan Enerbility co .LTD -,Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Project/Program Management · Quality · Construction · Engineering · Cost Control · Civil Engineering · MS Project · AutoCAD · Progress Measurement & Tracking,"Dabaa, Matruh, Egypt "
Cost Accountant,https://wuzzuf.net/jobs/p/itblvqqzmejm-cost-accountant-masterpet-sharqia-egypt,Full TimeOn-site,MasterPET -,Full TimeOn-siteEntry Level · 2 - 4 Yrs of Exp · Accounting/Finance · Analyst/Research · Cost Control · Financial Accounting,"10th of Ramadan City, Sharqia, Egypt "
Accountant,https://wuzzuf.net/jobs/p/gwunxy4t3zwh-accountant-dana-cairo-egypt,Full TimeOn-site,Dana  -,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Financial Reporting · Account Reconciliation · Accounts Payable · Accounts Receivable · Budgeting · Tax Preparation · Analytical Thinking · Attention to Detail · Microsoft Excel,"Nasr City, Cairo, Egypt "
Mechanical Technical Office Engineer (QS),https://wuzzuf.net/jobs/p/odicdjqsobdv-mechanical-technical-office-engineer-qs-reiada-cairo-egypt,Full TimeOn-site,Reiada -,Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · Engineering - Mechanical/Electrical · Mechanical · AutoCAD · Mechanical Engineering · Technical Office · Microsoft Office · Design · Engineering,"Sheraton, Cairo, Egypt "
Senior Accountant,https://wuzzuf.net/jobs/p/trremogxsw5k-senior-accountant-sanad-farms-damietta-egypt,Full TimeOn-site,Sanad Farms   -,Full TimeOn-siteExperienced · 5+ Yrs of Exp · males_only · Accounting/Finance · Accounting · Microsoft Excel · Microsoft Office · ERP · Microsoft Dynamics,"New Damietta, Damietta, Egypt "
Contact Center - Senior Quality Assurance Specialist,https://wuzzuf.net/jobs/p/xjmpu5i6atxw-contact-center-senior-quality-assurance-specialist-al-hayat-medical-clinics-cairo-egypt,Full TimeOn-site,Al Hayat Medical Clinics -,Full TimeOn-siteExperienced · 3+ Yrs of Exp · Customer Service/Support · Operations/Management · Quality · Call Center · Quality Assurance · Contact Center · COPC,"Mokattam, Cairo, Egypt "
Quality Control Engineer,https://wuzzuf.net/jobs/p/zzmnblc5tryf-quality-control-engineer-qalubia-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 1 - 5 Yrs of Exp · Manufacturing/Production · Quality · Engineering - Mechanical/Electrical · Quality Control · Quality Assurance · QC · Engineering · English · Manufacturing · Computer,"khanka, Qalubia, Egypt "
Senior Cost Control Engineer,https://wuzzuf.net/jobs/p/icjwiotmtoee-senior-cost-control-engineer-misr-elhegaz-group-cairo-egypt,Full TimeOn-site,Misr Elhegaz Group -,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Manufacturing/Production · Cost Control · Project Management · Engineering · Finance · Manufacturing · Industrial Engineering,"Heliopolis, Cairo, Egypt "
Financial Reporting Lead (m/f/d),https://wuzzuf.net/jobs/p/g/zvjbt3qtwxke-financial-reporting-lead-mfd-halian-dubai-united-arab-emirates,Full Time,Halian -,Full TimeEntry Level · Accounting/Finance · Operations/Management · Analyst/Research · Finance · Accounting · Financial Analysis · Financial Management · Financial Reporting · SAP · English,"Dubai, United Arab Emirates "
Software Development Specialist,https://wuzzuf.net/jobs/p/0mbyxrrplnb1-software-development-specialist-help-ag-cairo-egypt,Full TimeHybrid,Help AG -,"Full TimeHybridExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Programming (Java, Python, C#, JavaScript) · Angular · JavaScript · Typescript · Spring Boot · Docker · Kubernetes · Microsoft Azure","Cairo, Egypt "
Fleet Section Head,https://wuzzuf.net/jobs/p/fyutjqmkme97-fleet-section-head-selah-eltelmeez-for-publishing-printing-cairo-egypt,Full TimeOn-site,Selah ElTelmeez For Publishing & printing -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Operations/Management · Fleet management · Communication,"Obour City, Cairo, Egypt "
Senior UI/UX Designer,https://wuzzuf.net/jobs/p/bnfpgsy6jwmd-senior-uiux-designer-youxel-cairo-egypt,Full TimeHybrid,Youxel -,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · UI · UX · HTML · CSS · Adobe Photoshop · Adobe Illustrator · Mobile Design,"Maadi, Cairo, Egypt "
Finance Specialist,https://wuzzuf.net/jobs/p/g/jmk8zrvirfeu-finance-specialist-seattle-aviation-solutions-dubai-united-arab-emirates,Full Time,Seattle Aviation Solutions -,Full TimeEntry Level · 5 - 10 Yrs of Exp · Accounting/Finance · Administration · Human Resources · Finance · Accounting · Commerce · Financial Analysis · Microsoft Office · Financial Management · SAP,"Dubai, United Arab Emirates "
"Director, Private Banking - Relationship Manager ADGM",https://wuzzuf.net/jobs/p/g/0mqpphkjixal-director-private-banking-relationship-manager-adgm-hsbc-recruitment-dubai-united-arab-emirates,Full Time,HSBC Recruitment -,Full TimeNot specified · 10+ Yrs of Exp · Accounting/Finance · Operations/Management · Sales/Retail · finance · accounting · microsoft office · financial analysis · banking · management · customer service,"Dubai, United Arab Emirates "
CEO Personal Assistant,https://wuzzuf.net/jobs/p/eptvrhdvmt47-ceo-personal-assistant-bm-cairo-egypt,Full TimeOn-site,BM -,Full TimeOn-siteManager · 3 - 5 Yrs of Exp · females_only · Administration · Customer Service/Support · Operations/Management · Admin · personal assistant · Microsoft Office 365 · Sales,"Heliopolis, Cairo, Egypt "
Senior Cost Manager,https://wuzzuf.net/jobs/p/g/r44duewk7twr-senior-cost-manager-aecom-riyadh-saudi-arabia,Full Time,AECOM -,Full TimeExperienced · 10+ Yrs of Exp · Accounting/Finance · IT/Software Development · Sales/Retail · Sales · Sales Skills · Project Management · Finance · Accounting · Customer Service · Engineering,"Riyadh, Saudi Arabia "
Tax Manager,https://wuzzuf.net/jobs/p/g/solgsinvj8yn-tax-manager-dsv-global-transport-and-logistics-riyadh-saudi-arabia,Full Time,DSV - Global Transport and Logistics -,Full TimeExperienced · 10+ Yrs of Exp · Accounting/Finance · Banking · Operations/Management · Accounting · Finance · Financial Management · Financial Analysis · Tax · Microsoft Office · Commerce,"Riyadh, Saudi Arabia "
Technical Office Manager,https://wuzzuf.net/jobs/p/vmwmc0cjmwgj-technical-office-manager-cairo-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteManager · 10 - 15 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Construction · Engineering · Technical Office · Revit · Engineering Field,"Mokattam, Cairo, Egypt "
Sales & Marketing Manager,https://wuzzuf.net/jobs/p/3fybhcwyjuwd-sales-marketing-manager-apexos-group-cairo-egypt,Full TimeHybrid,Apexos Group -,Full TimeHybridExperienced · 3 - 8 Yrs of Exp · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail · Sales · horeca · Food & Beverage · Marketing · FMCG Sales · fmcg marketing · Event Management,"Heliopolis, Cairo, Egypt "
Financial Analyst,https://wuzzuf.net/jobs/p/g/cpwpvqb8io12-financial-analyst-burjline-builders-dubai-united-arab-emirates,Full Time,Burjline Builders -,Full TimeExperienced · 5 - 10 Yrs of Exp · Accounting/Finance · Banking · Analyst/Research · Finance · Financial Analysis · Accounting · Commerce · Microsoft Office · Financial Management · Analysis,"Dubai, United Arab Emirates "
Financial Analyst,https://wuzzuf.net/jobs/p/g/p0jih58y3c50-financial-analyst-agile-consultants-dubai-united-arab-emirates,Full Time,Agile Consultants -,Full TimeExperienced · Accounting/Finance · Banking · Analyst/Research · Finance · Financial Analysis · Accounting · Commerce · Microsoft Office · Financial Management · Analysis,"Dubai, United Arab Emirates "
Financial Analyst,https://wuzzuf.net/jobs/p/g/7h2sdop22u79-financial-analyst-placeup-dubai-united-arab-emirates,Full Time,PlaceUp -,Full TimeExperienced · Accounting/Finance · Banking · Analyst/Research · Finance · Financial Analysis · Accounting · Commerce · Microsoft Office · Financial Management · Analysis,"Dubai, United Arab Emirates "
Business Development Manager,https://wuzzuf.net/jobs/p/q9l65stlr7jq-business-development-manager-sprints-ai-cairo-egypt,Full TimeOn-site,Sprints.ai -,Full TimeOn-siteManager · 8+ Yrs of Exp · Business Development · Business Development · Communication · sales skills · education techenelogy · Administration · business · Business Administration · CRM · Development,"Maadi, Cairo, Egypt "
Senior Performance Marketing,https://wuzzuf.net/jobs/p/zgghhnkyr2wi-senior-performance-marketing-wuzzuf-cairo-egypt,Full TimeHybrid,WUZZUF -,Full TimeHybridExperienced · 5+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · business · campaigns · Communication · Content · Digital Marketing · digital marketing · E-Marketing · English,"Maadi, Cairo, Egypt "
General Accountant,https://wuzzuf.net/jobs/p/gpfahxpsg5by-general-accountant-eme-cairo-egypt,Full TimeOn-site,EME -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Document Control · Finance · Accounting · Financial Management · Financial Analysis · ERP · taxation,"Heliopolis, Cairo, Egypt "
General Accountant,https://wuzzuf.net/jobs/p/t1tzzjfbgm0t-general-accountant-billqode-cairo-egypt,Full TimeOn-site,Billqode -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Accounting Software · excel · Finance · Financial Analysis · Financial Management · General Ledger · Software · CPA,"Sheraton, Cairo, Egypt "
Head of Business Continuity & Resilience.Injaz - RMG - Business Continuity.Risk Management,https://wuzzuf.net/jobs/p/g/pvfn7ysmfvpe-head-of-business-continuity-resilienceinjaz-rmg-business-continuityrisk-management-mashreq-corporate-investment-banking-group-dubai-united-arab-emirates,Full Time,Mashreq Corporate & Investment Banking Group -,Full TimeSenior Management · Business Development · Operations/Management · Sales/Retail · Business Development · Management · Sales · Market Research · Marketing · Business Planning · Business Administration,"Dubai, United Arab Emirates "
Senior Financial Analyst,https://wuzzuf.net/jobs/p/g/fvc8l70xr0uj-senior-financial-analyst-arrow-components-riyadh-saudi-arabia,Full Time,Arrow Components -,Full TimeExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Finance · Accounting · Financial Analysis · Information Technology (IT) · Analysis · Computer Science · Business Analysis,"Riyadh, Saudi Arabia "
General Cashier/Paymaster,https://wuzzuf.net/jobs/p/g/tkmrerojzv2l-general-cashierpaymaster-sls-hotels-riyadh-saudi-arabia,Full Time,SLS Hotels -,Full TimeExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Customer Service/Support · Sales/Retail · accounting · finance · financial analysis · customer service · cashier · cash · banking,"Riyadh, Saudi Arabia "
Planning Manager,https://wuzzuf.net/jobs/p/tushopfalxxa-planning-manager-cairo-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteManager · 10 - 15 Yrs of Exp · Manufacturing/Production · Planning · furniture · Manufacturing Industry · WoodWorks · Sheet Metal · Work Planning · managerial · productionplanning,"Badr City, Cairo, Egypt "
Business Analyst (Python),https://wuzzuf.net/jobs/p/g/4ft3ad3i4u77-business-analyst-python-burjline-builders-dubai-united-arab-emirates,Full Time,Burjline Builders -,Full TimeEntry Level · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · Computer Science · Analysis · Software Development · Software · Computer Engineering,"Dubai, United Arab Emirates "
Packing and Operations Specialist,https://wuzzuf.net/jobs/p/yxsmjirndb5i-packing-and-operations-specialist-onfleekstuff-cairo-egypt,Full TimeOn-site,Onfleekstuff -,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Logistics/Supply Chain · Packing · Operations,"New Cairo, Cairo, Egypt "
cost control engineer,https://wuzzuf.net/jobs/p/ebaaf6lcn3ol-cost-control-engineer-creative-for-construction-cairo-egypt,Full TimeOn-site,Creative for construction  -,Full TimeOn-siteSenior Management · 7 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · ERP Systems · Cost Control · Budget Management,"Heliopolis, Cairo, Egypt "
Senior HR Generalist - Construction Experience,https://wuzzuf.net/jobs/p/g60ihvuavikj-senior-hr-generalist-construction-experience-giza-egypt,Full TimeOn-site,Confidential -,Full TimeOn-siteExperienced · 6 - 8 Yrs of Exp · Administration · Human Resources · Operations/Management · Talent Acquisition · Human Resources Management · Performance Management · Labor Law Compliance · Construction Industry Knowledge · Employee Relations · Training & Development,"Sheikh Zayed, Giza, Egypt "
Marketing Specialist,https://wuzzuf.net/jobs/p/ybjcmmer0oqq-marketing-specialist-mansieyewear-alexandria-egypt,Full TimeOn-site,mansieyewear  -,Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Sales/Retail · multitasking abilities · Strong Communication Skills · Ability to work independently and collaboratively in a team environment,"Sidi Gaber, Alexandria, Egypt "
Brand Manager,https://wuzzuf.net/jobs/p/wbgq2ixuwykg-brand-manager-koning-food-industries-cairo-egypt,Full TimeOn-site,Koning Food Industries -,Full TimeOn-siteManager · 5 - 10 Yrs of Exp · Marketing/PR/Advertising · Marketing · Online Marketing · Online Advertising · Brand Marketing · Branding · Brand Management · MBA · Social Media Strategy · Marketing Strategy,"New Cairo, Cairo, Egypt "
Technical Product Owner,https://wuzzuf.net/jobs/p/g/upfqwrvorqdw-technical-product-owner-oivan-riyadh-saudi-arabia,Full Time,Oivan -,Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Agile · Software Development · Business Analysis · Engineering · Computer Engineering,"Riyadh, Saudi Arabia "
